scenario,quantum_coupling,diffusion_rate,collapse_enabled,population,max_steps,seed,alive_count,alive_rate,avg_survival_steps,max_survival_steps,avg_final_energy,avg_steps_taken,deadend_escapes,final_coherence_mean,final_pilot_wave_mean
moving,0.0,0.1,False,20,500,8000,3,0.15,160.0,500,55.0,160.0,0,1.0,0.0008238843875005841
moving,0.0,0.1,False,20,500,9000,0,0.0,100.0,100,0.0,100.0,0,1.0,0.0005299095646478236
moving,0.1,0.1,True,20,500,10,16,0.8,420.0,500,279.0,420.0,0,0.8129221200942993,2.4449167251586914
moving,0.1,0.1,True,20,500,1010,20,1.0,500.0,500,356.0,500.0,0,0.8067408800125122,2.6026430130004883
moving,0.1,0.1,True,20,500,2010,19,0.95,480.0,500,327.0,480.0,0,0.8458377122879028,2.6505894660949707
moving,0.1,0.1,True,20,500,3010,20,1.0,500.0,500,347.0,500.0,0,0.8149526119232178,2.6024720668792725
moving,0.1,0.1,True,20,500,4010,19,0.95,480.0,500,335.5,480.0,0,0.8304831385612488,2.6010663509368896
moving,0.1,0.1,True,20,500,5010,20,1.0,500.0,500,356.0,500.0,0,0.830610990524292,2.683760643005371
moving,0.1,0.1,True,20,500,6010,20,1.0,500.0,500,346.0,500.0,0,0.82328200340271,2.5822572708129883
moving,0.1,0.1,True,20,500,7010,20,1.0,500.0,500,343.0,500.0,0,0.8098082542419434,2.6022675037384033
moving,0.1,0.1,True,20,500,8010,19,0.95,480.0,500,331.0,480.0,0,0.8362562656402588,2.6008737087249756
moving,0.1,0.1,True,20,500,9010,20,1.0,500.0,500,347.0,500.0,0,0.8144999742507935,2.602322578430176
moving,0.1,0.1,False,20,500,10,1,0.05,120.0,500,5.0,120.0,0,1.0,0.0008238843875005841
moving,0.1,0.1,False,20,500,1010,1,0.05,120.0,500,11.5,120.0,0,1.0,0.0008238843875005841
moving,0.1,0.1,False,20,500,2010,1,0.05,120.0,500,15.0,120.0,0,1.0,0.0008238843875005841
moving,0.1,0.1,False,20,500,3010,2,0.1,144.0,500,41.0,144.0,0,1.0,0.0008238843875005841
moving,0.1,0.1,False,20,500,4010,1,0.05,130.0,500,6.5,130.0,0,1.0,0.0008238843875005841
moving,0.1,0.1,False,20,500,5010,1,0.05,120.0,500,11.5,120.0,0,1.0,0.0008238843875005841
moving,0.1,0.1,False,20,500,6010,1,0.05,120.0,500,15.0,120.0,0,1.0,0.0008238843875005841
moving,0.1,0.1,False,20,500,7010,1,0.05,120.0,500,20.0,120.0,0,1.0,0.0008238843875005841
moving,0.1,0.1,False,20,500,8010,0,0.0,100.0,100,0.0,100.0,0,1.0,0.0005299095646478236
moving,0.1,0.1,False,20,500,9010,2,0.1,140.0,500,18.5,140.0,0,1.0,0.0008238843875005841
moving,0.3,0.1,True,20,500,30,18,0.9,468.0,500,319.5,468.0,0,0.81779944896698,2.767014503479004
moving,0.3,0.1,True,20,500,1030,19,0.95,480.0,500,326.5,480.0,0,0.8386138081550598,2.792895793914795
moving,0.3,0.1,True,20,500,2030,10,0.5,327.0,500,196.0,327.0,0,0.8434268236160278,1.4135857820510864
moving,0.3,0.1,True,20,500,3030,20,1.0,500.0,500,347.0,500.0,0,0.8232930302619934,2.8298730850219727
moving,0.3,0.1,True,20,500,4030,19,0.95,480.0,500,331.0,480.0,0,0.8100453615188599,2.7669708728790283
moving,0.3,0.1,True,20,500,5030,20,1.0,500.0,500,347.0,500.0,0,0.8209166526794434,2.7944676876068115
moving,0.3,0.1,True,20,500,6030,19,0.95,480.0,500,331.0,480.0,0,0.8431792259216309,2.7928478717803955
moving,0.3,0.1,True,20,500,7030,20,1.0,500.0,500,347.0,500.0,0,0.829497218132019,2.8298392295837402
moving,0.3,0.1,True,20,500,8030,19,0.95,480.0,500,331.0,480.0,0,0.8391828536987305,2.7928078174591064
moving,0.3,0.1,True,20,500,9030,14,0.7,380.0,500,237.5,380.0,0,0.8340412974357605,2.4388060569763184
moving,0.3,0.1,False,20,500,30,0,0.0,100.0,100,0.0,100.0,0,1.0,0.0005299095646478236
moving,0.3,0.1,False,20,500,1030,1,0.05,120.0,500,5.0,120.0,0,1.0,0.0008238843875005841
moving,0.3,0.1,False,20,500,2030,0,0.0,110.0,300,0.0,110.0,0,1.0,0.0008188032661564648
moving,0.3,0.1,False,20,500,3030,0,0.0,100.0,100,0.0,100.0,0,1.0,0.0005299095646478236
moving,0.3,0.1,False,20,500,4030,1,0.05,133.5,500,15.0,133.5,0,1.0,0.0008238843875005841
moving,0.3,0.1,False,20,500,5030,2,0.1,150.0,500,36.0,150.0,0,1.0,0.0008238843875005841
moving,0.3,0.1,False,20,500,6030,0,0.0,100.0,100,0.0,100.0,0,1.0,0.0005299095646478236
moving,0.3,0.1,False,20,500,7030,0,0.0,100.0,100,0.0,100.0,0,1.0,0.0005299095646478236
moving,0.3,0.1,False,20,500,8030,1,0.05,120.0,500,15.0,120.0,0,1.0,0.0008238843875005841
moving,0.3,0.1,False,20,500,9030,0,0.0,100.0,100,0.0,100.0,0,1.0,0.0005299095646478236
moving,0.5,0.1,True,20,500,50,20,1.0,500.0,500,351.5,500.0,0,0.8255413770675659,2.8811025619506836
moving,0.5,0.1,True,20,500,1050,18,0.9,460.0,500,315.0,460.0,0,0.8348702788352966,2.769620418548584
moving,0.5,0.1,True,20,500,2050,20,1.0,500.0,500,347.0,500.0,0,0.8410427570343018,2.881103277206421
moving,0.5,0.1,True,20,500,3050,19,0.95,480.0,500,340.0,480.0,0,0.8096873760223389,2.7710862159729004
moving,0.5,0.1,True,20,500,4050,20,1.0,500.0,500,342.5,500.0,0,0.8308128714561462,2.8810808658599854
moving,0.5,0.1,True,20,500,5050,20,1.0,500.0,500,347.5,500.0,0,0.8152338266372681,2.8014988899230957
moving,0.5,0.1,True,20,500,6050,20,1.0,500.0,500,338.0,500.0,0,0.8243011236190796,2.8810999393463135
moving,0.5,0.1,True,20,500,7050,19,0.95,480.0,500,327.0,480.0,0,0.8214744329452515,2.7999143600463867
moving,0.5,0.1,True,20,500,8050,10,0.5,322.5,500,196.0,322.5,0,0.8562614321708679,1.411785364151001
moving,0.5,0.1,True,20,500,9050,19,0.95,496.0,500,335.5,496.0,0,0.8255236148834229,2.987161636352539
moving,0.5,0.1,False,20,500,50,0,0.0,100.0,100,0.0,100.0,0,1.0,0.0005299095646478236
moving,0.5,0.1,False,20,500,1050,1,0.05,120.0,500,11.5,120.0,0,1.0,0.0008238843875005841
